STATE,ST_CASE,VE_TOTAL,VE_FORMS,PEDS,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,REL_ROAD,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130095,2,2,0,4,139,2285,14,2,2010,1,15,34,0,13,3,SR-369,SPRING ROAD,65,34.28296389,-83.850788890,0,12,6,0,2,3,1,0,1,10,0,10,0,0000000,15,36,15,48,16,12,0,0,0,1,0
13,130096,1,1,0,1,321,0,14,2,2010,1,16,35,0,3,3,SR-112,,117,31.49664167,-83.857205560,0,35,0,0,1,1,6,0,1,1,0,1,0,0000000,16,35,16,47,17,21,0,0,0,1,0
13,130097,1,1,0,1,121,0,15,2,2010,2,14,15,1,11,1,I-285/SR-407,,8,33.63634722,-84.492222220,0,42,0,0,1,1,6,0,1,1,0,1,0,0000000,14,15,14,30,14,58,0,0,0,1,0
13,130098,1,1,1,1,15,0,17,2,2010,4,19,2,0,13,4,BURNT HICKORY ROAD,,33,34.19476667,-84.835394440,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,19,2,19,10,88,88,0,0,0,1,0
13,130099,1,1,1,1,269,0,17,2,2010,4,21,36,0,2,3,SR-96,,80,99.99990000,999.999900000,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,21,36,21,47,88,88,0,0,0,1,0
13,130100,2,2,0,4,15,980,18,2,2010,5,14,55,0,13,3,SR-61,,122,34.22863889,-84.785141670,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,14,55,14,59,16,25,0,0,0,1,0
13,130101,2,2,0,6,315,0,18,2,2010,5,15,58,0,3,3,SR-30,,112,31.95562222,-83.435605560,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,16,9,16,11,16,33,0,0,0,5,0
13,130102,1,1,0,1,51,4910,21,2,2010,1,15,24,0,14,6,MONTGOMER STREET,WEST 31ST,29,32.06285000,-81.102700000,0,42,0,0,2,2,6,0,1,1,0,1,0,0000000,15,24,15,27,15,45,0,0,0,1,0
13,130103,1,1,0,2,135,800,21,2,2010,1,1,50,1,2,1,I-985/SR-365,,72,34.12908889,-83.962369440,0,42,0,0,1,1,6,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,2,0
13,130104,1,1,1,1,121,5640,22,2,2010,2,21,18,0,14,3,SR-138,,26,33.57030833,-84.550480560,0,8,0,0,1,1,1,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130105,1,1,1,1,59,270,6,3,2010,7,6,26,0,14,3,SR-15,CRESCENT DRIVE,56,33.98660556,-83.420583330,0,9,0,0,2,3,1,0,2,1,0,1,0,0000000,6,33,6,39,6,54,0,0,0,1,0
13,130106,2,2,1,3,95,0,4,3,2010,5,16,59,0,14,3,SR-91,,154,31.61660556,-84.138836110,0,8,0,0,1,1,1,0,1,1,0,1,0,0000000,16,59,17,5,88,88,23,0,0,1,0
13,130107,2,2,0,3,135,0,6,3,2010,7,22,36,0,14,3,SR-120,MEADOW CHURCH RD,55,33.97835000,-84.099805560,0,12,2,0,2,2,1,0,2,1,0,1,0,0000000,22,36,22,44,23,0,0,0,0,1,0
13,130108,1,1,0,1,59,270,8,3,2010,2,1,18,0,15,4,COLLEGE STATION ROAD,,3,33.92133611,-83.347822220,0,33,0,0,1,1,4,0,2,1,0,1,0,0000000,1,18,1,29,1,56,0,0,0,1,0
13,130109,2,2,0,4,63,0,27,2,2010,7,0,39,0,13,3,SR-54,MUNDYS MILL,5,33.48988889,-84.389355560,0,12,2,0,2,2,1,0,3,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130110,2,2,0,5,39,3010,22,2,2010,2,14,19,1,13,3,SR-40,,175,99.99990000,999.999900000,0,12,6,0,4,1,1,0,1,2,0,2,0,0000000,14,19,14,27,14,47,0,0,0,1,0
13,130111,2,2,0,3,215,1280,30,1,2010,7,20,14,0,14,6,FLOYD RD,HUNTER RD,13,32.48017222,-84.898847220,0,12,6,0,2,3,1,0,3,2,0,2,0,0000000,20,14,20,23,88,88,0,0,0,1,0
13,130112,1,1,0,1,255,0,1,2,2010,2,14,30,0,6,4,MOON RD,,5,33.26513889,-84.416241670,0,1,0,0,1,1,1,0,1,10,0,10,0,0000000,14,34,14,45,15,24,0,0,0,1,0
13,130113,1,1,0,1,33,0,2,2,2010,3,0,1,0,4,4,W QUAKER RD,,78,33.12795556,-82.072119440,0,34,0,0,1,1,4,0,2,1,0,1,0,0000000,88,88,88,88,88,88,0,0,0,1,0
13,130114,2,2,0,5,179,0,2,2,2010,3,17,40,0,3,3,SR-25,BARRINGTON FERRY RD,94,31.65469722,-81.395258330,0,12,6,0,2,3,1,0,1,10,0,10,0,0000000,99,99,99,99,99,99,0,0,0,2,0
13,130115,1,1,0,1,69,0,3,2,2010,4,8,36,0,5,4,AUBREY PAULK RD,,57,31.51363611,-83.047177780,0,32,0,0,1,1,4,0,1,1,0,1,0,0000000,8,36,8,48,9,46,0,0,0,1,0
13,130116,2,2,0,5,129,0,3,2,2010,4,14,56,0,3,3,SR-53,MILLER FERRY RD,35,34.43871667,-85.000169440,0,12,6,0,2,9,1,0,1,1,0,1,0,0000000,14,56,15,8,15,20,0,0,0,1,0
13,130117,1,1,0,2,155,0,3,2,2010,4,13,25,0,3,3,SR-32,,245,99.99990000,999.999900000,0,42,0,0,1,1,4,0,1,1,0,1,0,0000000,13,40,14,4,16,1,0,0,0,1,0
13,130118,2,2,0,4,15,2010,5,2,2010,6,1,44,1,11,1,I-75,,87,34.14269444,-84.738836110,0,24,0,0,1,1,3,0,2,2,0,2,0,0000000,1,44,1,53,2,17,0,0,0,1,1
13,130119,3,3,2,3,57,0,5,2,2010,6,18,30,1,1,1,I-575,,22,34.10679444,-84.532627780,0,12,6,0,1,1,3,0,3,2,0,2,0,0000000,18,43,18,51,19,12,19,14,0,1,0
13,130120,2,2,0,4,161,2630,5,2,2010,6,14,39,0,2,6,COFFEE ST,MILLER ST,127,31.87733889,-82.596866670,0,12,6,0,2,2,1,0,1,2,0,2,0,0000000,14,39,14,41,14,53,0,0,0,1,0
13,130121,2,2,0,3,45,0,7,2,2010,1,20,41,1,13,3,SR-1,MOTE RD,152,33.62316111,-85.100183330,0,12,6,0,2,2,1,0,2,10,0,10,0,0000000,20,41,20,44,21,18,0,0,0,2,0
13,130122,1,1,0,3,277,0,7,2,2010,1,10,57,0,5,4,E GOLDEN RD,,8,31.43051111,-83.502402780,0,10,0,0,6,1,1,0,1,1,0,1,0,723198H,10,57,11,2,11,19,0,0,0,2,0
13,130123,2,2,0,3,95,90,8,2,2010,2,13,17,0,12,3,SR-520,,61,31.59657500,-84.139705560,0,1,0,0,1,1,3,0,1,1,0,1,0,0000000,13,22,13,38,13,44,0,0,0,1,0
13,130124,2,2,0,5,215,1280,8,2,2010,2,9,53,0,13,6,BEAVER RUIN RD,MACON RD,114,32.51956944,-84.877108330,0,12,6,0,2,3,1,0,1,1,0,1,0,0000000,9,53,9,58,11,4,0,0,0,1,0
13,130125,2,2,0,3,217,0,8,2,2010,2,10,19,0,14,3,SR-36,,123,33.55048056,-83.846861110,0,12,2,0,1,1,1,0,1,1,0,1,0,0000000,10,19,10,28,11,29,0,0,0,1,0
