ST_CASE,VEH_NO,MDRDSTRD,YEAR,FATALS,PER_TYP,INJ_SEV
10251,1,0,2010,1,2.0,2.0
10252,1,0,2010,1,1.0,4.0
10252,2,0,2010,1,1.0,2.0
10252,2,0,2010,1,2.0,2.0
10253,1,0,2010,2,1.0,4.0
10253,2,0,2010,2,1.0,4.0
10253,2,0,2010,2,2.0,2.0
10254,1,0,2010,1,1.0,4.0
10255,1,0,2010,1,1.0,3.0
10255,2,0,2010,1,1.0,4.0
10255,2,0,2010,1,2.0,3.0
10255,3,0,2010,1,1.0,3.0
10256,1,0,2010,1,1.0,0.0
10256,1,0,2010,1,2.0,0.0
10256,2,0,2010,1,1.0,4.0
10257,1,0,2010,1,1.0,0.0
10257,2,0,2010,1,1.0,0.0
10257,3,0,2010,1,1.0,0.0
10257,4,0,2010,1,1.0,0.0
10258,1,0,2010,1,1.0,4.0
10259,1,0,2010,1,1.0,4.0
10259,1,0,2010,1,2.0,3.0
10260,1,0,2010,1,1.0,4.0
10261,1,0,2010,1,1.0,0.0
10261,2,0,2010,1,1.0,4.0
10261,2,0,2010,1,2.0,2.0
10262,1,0,2010,1,1.0,4.0
10263,1,0,2010,1,1.0,4.0
10264,1,0,2010,1,1.0,4.0
10265,1,0,2010,1,1.0,4.0
10265,2,0,2010,1,1.0,0.0
10266,1,0,2010,1,1.0,4.0
10267,1,0,2010,1,1.0,3.0
10267,1,0,2010,1,2.0,4.0
10267,2,0,2010,1,1.0,0.0
10268,1,0,2010,1,1.0,4.0
10268,1,0,2010,1,2.0,3.0
10269,1,0,2010,1,1.0,0.0
10269,1,0,2010,1,2.0,0.0
10269,1,0,2010,1,2.0,0.0
10269,1,0,2010,1,2.0,0.0
10269,1,0,2010,1,2.0,0.0
10269,1,0,2010,1,2.0,4.0
10270,1,0,2010,1,1.0,0.0
10271,1,0,2010,1,1.0,0.0
10271,2,0,2010,1,1.0,4.0
10272,1,0,2010,1,1.0,4.0
10273,1,0,2010,4,1.0,4.0
10273,1,0,2010,4,2.0,4.0
10273,1,0,2010,4,2.0,4.0
10273,1,0,2010,4,2.0,4.0
10273,2,0,2010,4,1.0,3.0
10273,2,0,2010,4,2.0,3.0
10273,2,0,2010,4,2.0,3.0
10273,2,0,2010,4,2.0,3.0
10273,2,0,2010,4,2.0,2.0
10273,3,0,2010,4,1.0,0.0
10273,3,0,2010,4,2.0,0.0
10274,1,0,2010,1,1.0,4.0
