STATE,ST_CASE,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,ROAD_FNC,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
48,480226,1,1,0,0,0,1,1,373,0,27,1,2014,2,8,1,0,4,8,FM 350,,102,30.75089167,-94.95442222,0,1,0,0,1,1,0,4,1,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480227,1,1,0,0,0,1,1,421,0,27,1,2014,2,8,42,1,2,2,US-54,,130,36.45203056,-101.8690194,0,1,0,0,1,1,0,4,1,10,0,10,0,0000000,9,2,9,48,10,29,0,0,0,1,0
48,480228,2,2,0,0,0,3,3,501,0,27,1,2014,2,14,16,0,3,3,SR-214,CR-330,252,33.02247778,-102.8189639,0,12,6,0,2,2,0,1,1,1,0,1,0,0000000,14,34,14,45,15,50,0,0,0,1,0
48,480229,1,1,0,0,0,1,1,287,0,28,1,2014,3,12,59,0,5,8,FM 1624,,210,30.40404444,-97.02039444,0,35,0,0,1,1,0,4,1,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,0
48,480230,2,2,0,0,0,3,3,169,0,29,1,2014,4,17,45,0,3,2,US-380,,90,33.18430556,-101.4202194,0,12,1,0,7,1,0,1,1,1,0,1,0,0000000,17,49,17,58,19,0,0,0,0,1,0
48,480231,1,1,0,0,0,2,2,201,3280,29,1,2014,4,0,0,0,16,5,GULF BANK RD,,0,29.88936111,-95.37115278,0,30,0,0,1,1,0,4,2,1,0,1,0,0000000,0,4,0,14,0,36,0,0,0,1,1
48,480232,1,1,0,0,0,3,3,209,0,29,1,2014,4,11,4,1,2,3,SR-21 CAMINO REAL RD,,98,29.96028333,-97.781925,0,42,0,0,1,1,0,4,1,1,0,1,0,0000000,11,4,11,12,11,45,0,0,0,1,0
48,480233,2,2,0,0,0,4,4,215,5330,29,1,2014,4,6,36,1,13,8,FM2061 JACKSON RD,,16,26.17617222,-98.20792222,0,12,2,0,1,1,0,1,3,2,0,2,0,0000000,6,45,6,48,6,57,0,0,0,1,0
48,480234,2,2,0,0,0,2,2,5,0,30,1,2014,5,17,20,1,2,2,US-69,,209,31.39105556,-94.78108056,0,12,2,0,1,1,0,1,1,1,0,1,0,0000000,17,30,17,38,17,56,0,0,0,1,0
48,480235,1,1,0,0,0,1,1,61,0,30,1,2014,5,7,20,0,15,8,FM803 OLMITO NORTH RD,,107,26.09347222,-97.52242222,0,24,0,0,1,1,0,4,1,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480236,2,2,0,0,0,8,8,297,0,30,1,2014,5,6,48,0,3,3,SR-72,,52,28.45875556,-98.26564444,0,12,1,0,8,1,0,1,4,10,0,10,1,0000000,7,2,7,32,8,23,0,0,0,3,0
48,480237,1,1,0,1,1,1,1,201,3280,31,1,2014,6,22,25,0,16,5,ALDINE WESTFIELD RD,WELLINGTON ST,0,29.85818889,-95.34986944,0,8,0,0,2,3,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,1,0
48,480238,1,1,0,0,0,3,3,215,0,31,1,2014,6,13,30,1,2,2,US-281,,77,26.68552778,-98.11392778,0,1,0,0,1,1,0,4,1,1,0,1,0,0000000,13,40,13,54,14,24,0,0,0,1,0
48,480239,1,1,0,1,1,1,1,201,3280,2,1,2014,5,21,27,0,16,5,SWIFT BLVD,KIRBY DR,0,29.71253611,-95.41823889,0,8,0,0,3,2,0,1,2,1,0,1,0,0000000,21,27,21,30,21,46,0,0,0,1,0
48,480240,2,2,0,0,0,4,4,113,1730,11,1,2014,7,23,47,1,11,1,I-35E STEMMONS FWY,,282,32.90796667,-96.89698056,0,12,1,1,18,1,0,1,3,1,0,1,0,0000000,99,99,99,99,99,99,0,0,0,2,1
48,480241,1,1,0,0,0,1,1,201,0,15,1,2014,4,0,25,0,6,4,CR-CHAMPION FOREST DR,,0,30.02942778,-95.55285278,0,33,0,0,1,1,0,3,2,10,0,10,0,0000000,99,98,99,98,88,88,0,0,0,1,1
48,480242,1,1,0,0,0,1,1,201,0,15,1,2014,4,0,1,0,6,4,CR-LITTLE YORK RD,,0,29.86716389,-95.57955,0,34,0,0,1,1,0,4,2,1,0,1,0,0000000,99,98,99,98,88,88,0,0,0,1,1
